Smiles,Adduct,CCS
O=C([C@@H]1CCCN1C(=O)c1cccs1)NCc1cn(nc1c1ccc(cc1)F)c1ccccc1,[M+H]+,208.84
O=C([C@@H]1CCCN1S(=O)(=O)c1ccccc1F)NC1CCCCCC1,[M+H]+,186.2
O=C([C@@H]1CCCN1S(=O)(=O)c1ccccc1C(F)(F)F)NC1CCCCCC1,[M+H]+,190.75
O=C([C@@H]1CCCN1S(=O)(=O)c1ccc(cc1)C)NC1CCCCC1,[M+H]+,186.73
CCOc1ccccc1C(=O)N[C@H](C(=O)NC1CCCCC1)C(C)C,[M+H]+,188.16
O=C([C@H](Cc1c[nH]c2c1cccc2)NC(=O)c1cccs1)NC1CCCC1,[M+H]+,192.57
OC1CCC2[C@]1(C)CCC1C2CCC2[C@]1(C)Cc1cn[nH]c1C2,[M+H]+,186.87
O=C(c1ccc(c(c1)C)C)c1ccccc1,[M+H]+,145.77
Fc1ccc(cc1)n1nc(c2c1sc(c2)C(=O)OCc1c(C)noc1C)C,[M+H]+,198.26
O=C(c1ccc2c(c1)scn2)OCc1c(C)noc1C,[M+H]+,171.46
O=C(c1cnc2c(c1)c(C)nn2C)OCc1c(C)noc1C,[M+H]+,177.99
Clc1ccccc1c1nc2ccccc2c(c1)C(=O)OCc1c(C)noc1C,[M+H]+,194.36
O=C(Cc1ccc(cc1)c1ccccc1)OCc1c(C)noc1C,[M+H]+,174.66
O=C(c1cccc(c1)S(=O)(=O)N1CCCc2c1cccc2)OCc1c(C)noc1C,[M+H]+,193.07
COc1ccc(cc1OC)C(=O)OCc1c(C)noc1C,[M+H]+,172.98
O=C(c1sc(c(c1)Br)Br)OCc1c(C)noc1C,[M+H]+,174.61
O=C(c1ccc(cc1)OCc1c(C)onc1C)OCc1c(C)onc1C,[M+H]+,173.32
O=C(c1c(C)onc1c1ccccc1)OCc1c(C)noc1C,[M+H]+,175.07
OCc1c(C)nn(c1C)c1ccccc1,[M+H]+,146.48
O=C(Cc1csc(n1)N1CCCC1=O)OCc1c(C)nn(c1C)c1ccccc1,[M+H]+,201.2
Cc1cc(COC(=O)c2ccc(cc2)CS(=O)(=O)C)cc(c1)C,[M+H]+,185.31
Cc1cc(COC(=O)c2ccc3c(c2)nc2n(c3=O)CCC2)cc(c1)C,[M+H]+,198.66
CC(CCC=C(C)C)CCNCc1ccc(cc1)C,[M+H]+,168.43
COc1ccccc1NC(=O)Cc1noc(n1)COC(=O)CN1C(=O)C2C(C1=O)CCCC2,[M+H]+,202.53
OCc1cccc(c1)Nc1nc(nc2c1cccc2)C(F)(F)F,[M+H]+,172.56
O=C(c1ccc(cc1)OCC1CCCO1)OCc1cccc(c1)COC(=O)c1ccc(cc1)OCC1CCCO1,[M+H]+,224.67
OCc1cccc(c1)Nc1ncnc2c1scc2,[M+H]+,158.91
CCCn1c(COC(=O)c2cc(C)ccc2C)nc2c1c(=O)[nH]c(=O)n2CCCC,[M+H]+,203.42
CCCn1c(COC(=O)Cc2ccccc2)nc2c1c(=O)[nH]c(=O)n2CCCC,[M+H]+,192.34
CCCCn1c(=O)[nH]c(=O)c2c1nc(n2C)CNc1cc(F)ccc1C(=O)OCc1nc2c(n1C)c(=O)[nH]c(=O)n2CCCC,[M+H]+,233.22
CCCCn1c(=O)[nH]c(=O)c2c1nc(n2C)COC(=O)C12CC3CC(C1)CC(C2)(C3)NC(=O)C,[M+H]+,208.31
Clc1cccc(c1)COC(=O)c1cc(ccc1N1CCOCC1)S(=O)(=O)N1CCCCC1,[M+H]+,215.81
Clc1cccc(c1)COC(=O)c1nn2c(n1)nccc2C,[M+H]+,174.36
N#Cc1cccc(c1)COC(=O)C(Oc1ccc(cc1)Cl)(C)C,[M+H]+,177.55
COc1ccc(cc1F)COC(=O)c1ccc2c(c1)scn2,[M+H]+,182.53
COc1ccc(cc1)c1nn(cc1CNCCCOC(C)C)c1ccccc1,[M+H]+,199.16
COc1cc(CO)ccc1Oc1nc(CN2CCOCC2)nc2c1c(cs2)c1cccs1,[M+H]+,204.38
Cc1noc(c1)COC(=O)c1cnc2c(c1)cnn2Cc1ccccc1,[M+H]+,188.55
Cc1cccc(c1)C(=O)Nc1ccccc1C(=O)OCc1onc(c1)C,[M+H]+,177.99
COc1ccc(c(c1)C(=O)OCc1onc(c1)C)O,[M+H]+,167.27
Oc1ccc(cc1)C(=O)OCc1onc(c1)C,[M+H]+,158.15
Cc1cccc(c1)COC(=O)c1c(Cl)nc2n1ccs2,[M+H]+,172.48
O=C1CCCCN1c1ccc(cc1)C(=O)OCc1nc2ccccc2nc1C,[M+H]+,198.37
COc1cn(nc1C(=O)OCc1nc2ccccc2nc1C)c1ccccc1,[M+H]+,200.01
O=C(c1cc(ccc1C)S(=O)(=O)NC1CC1)OCc1nc2ccccc2nc1C,[M+H]+,198.94
O=C(C1CCCN1C(=O)C12CC3CC(C2)CC(C1)C3)OCc1onc(n1)c1ccccc1,[M+H]+,196.92
N#Cc1cccc(c1)C(=O)OCc1onc(n1)c1ccccc1,[M+H]+,178.19
O=C(c1cccnc1N1CCOCC1)OCc1onc(c1)c1ccccc1,[M+H]+,191.06
O=C(c1ccc(s1)C(=O)C)OCc1onc(c1)c1ccccc1,[M+H]+,181.94
COc1cccc(c1)[C@@H]1N(Cc2ccc(cc2)F)C(=O)c2c([C@@H]1C(=O)O)cccc2,[M+H]+,193.38
Fc1ccc(cc1)CN1C(=O)c2ccccc2[C@@H]([C@@H]1c1ccc(cc1)Cl)C(=O)O,[M+H]+,191.83
O=C(NC(c1ccc2c(c1)OCCCO2)C(C)C)CN1Cc2ccccc2C[C@H]1C(=O)N,[M+H]+,205.3
NC(=O)[C@@H]1Cc2ccccc2CN1c1nc(CN2CCOCC2)nc2c1c(cs2)c1cccs1,[M+H]+,211.72
CCOc1ccc(c(c1)O)[C@H]1N(Cc2ccccc2)C(=O)c2c([C@H]1C(=O)O)cccc2,[M+H]+,196.91
O=C(c1cc2ccccc2cc1O)OCc1oc(c(n1)C)C,[M+H]+,169.09
Cc1oc(c(c1)C(=O)OCc1nc(N)c2c(n1)cccc2)C,[M+H]+,172.35
O=C(c1ccccc1Br)OCc1nc(N)c2c(n1)cccc2,[M+H]+,172.34
O=C(c1ccccc1Cl)OCc1nc(N)c2c(n1)cccc2,[M+H]+,169.37
O=C(c1cccc(c1O)C)OCc1nc(N)c2c(n1)cccc2,[M+H]+,176.05
COCc1cccc(c1)C(=O)OCc1nc(N)c2c(n1)cccc2,[M+H]+,183.34
OCc1ccc(cc1)C(=O)OCc1nc(N)c2c(n1)cccc2,[M+H]+,176.77
COCc1ccc(cc1)C(=O)OCc1nc(N)c2c(n1)cccc2,[M+H]+,182.3
Brc1ccc(cc1)C(=O)OCc1nc(N)c2c(n1)cccc2,[M+H]+,178.07
Clc1ccc(cc1)C(=O)OCc1nc(N)c2c(n1)cccc2,[M+H]+,175.05
Fc1ccc(cc1)C(=O)OCc1nc(N)c2c(n1)cccc2,[M+H]+,169.22
Brc1ccc(o1)C(=O)OCc1nc(N)c2c(n1)cccc2,[M+H]+,171.94
Cc1ccc(s1)C(=O)OCc1nc(N)c2c(n1)cccc2,[M+H]+,170.41
O=C(c1ccco1)OCc1nc(N)c2c(n1)cccc2,[M+H]+,160.52
Brc1ccc(c(c1)F)COC(=O)c1cnc(cn1)C,[M+H]+,175.6
COc1ccccc1C(=O)NCC(=O)OCc1ccc(cc1)Br,[M+H]+,186.11
Brc1ccc(cc1)COC(=O)c1ccc(cc1)S(=O)(=O)N1CCCC1,[M+H]+,201.34
Brc1ccc(cc1)COC(=O)c1c(N)onc1C,[M+H]+,167.8
O=C(Cc1ccc(cc1)c1ccccc1)OCc1ccc(cc1)C(=O)N,[M+H]+,174.63
